"TP_PRESENCA_CN";"TP_PRESENCA_CH";"TP_PRESENCA_LC";"TP_PRESENCA_MT";"NU_NOTA_CN";"NU_NOTA_CH";"NU_NOTA_LC";"NU_NOTA_MT";"TP_STATUS_REDACAO";"NU_NOTA_REDACAO";"CO_MUNICIPIO_RESIDENCIA";"NO_MUNICIPIO_RESIDENCIA";"SG_UF_RESIDENCIA";"TP_DEPENDENCIA_ADM_ESC";"TP_LOCALIZACAO_ESC";"NU_IDADE";"TP_SEXO";"TP_ST_CONCLUSAO";"TP_ESCOLA";"TP_COR_RACA";"IN_BAIXA_VISAO";"IN_CEGUEIRA";"IN_SURDEZ";"IN_DEFICIENCIA_AUDITIVA";"IN_SURDO_CEGUEIRA";"IN_DEFICIENCIA_FISICA";"IN_DEFICIENCIA_MENTAL";"IN_DEFICIT_ATENCAO";"IN_DISLEXIA";"IN_AUTISMO";"Q001";"Q002";"Q006";"Q010";"Q024";"Q025";"Q047"
1;1;1;1;446;625,3;517,6;410,9;1;480;1400100;"Boa Vista";"RR";"";"";38;"M";1;1;3;0;1;0;0;0;0;0;0;0;0;"B";"D";"C";"A";"A";"A";"A"
1;1;1;1;370,3;414,1;449,5;374,4;1;666;2607901;"Jaboat<e3>o dos Guararapes";"PE";"";"";23;"F";1;1;1;0;0;0;1;0;0;0;0;0;0;"A";"B";"A";"A";"A";"B";"A"
1;1;1;1;564,5;659,5;601,9;461,5;1;720;3301702;"Duque de Caxias";"RJ";"";"";25;"F";1;1;2;1;0;0;0;0;0;0;0;0;0;"E";"F";"B";"A";"B";"B";"E"
1;1;1;1;476,8;516,2;448,1;394,8;1;460;3548500;"Santos";"SP";"";"";19;"M";3;1;3;0;0;0;0;0;0;1;1;0;0;"D";"E";"C";"A";"B";"B";"A"
1;1;1;1;497,1;503,1;452,9;460,9;1;300;3162922;"S<e3>o Joaquim de Bicas";"MG";"";"";59;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"B";"B";"B";"A";"A";"A";"A"
1;1;1;1;450,7;566,4;448,1;437;1;560;3501608;"Americana";"SP";"";"";21;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"E";"F";"G";"B";"C";"B";"A"
1;1;1;1;380,3;496,2;385,7;467,6;1;400;5300108;"Bras<ed>lia";"DF";"";"";31;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"H";"H";"B";"A";"B";"B";"A"
1;1;1;1;497,1;613,1;531,2;588,6;1;616;2304400;"Fortaleza";"CE";"";"";24;"M";1;1;1;0;0;0;1;0;0;0;0;0;0;"G";"G";"D";"A";"B";"B";"A"
1;1;1;1;675,5;713;600,3;672,1;1;480;3106200;"Belo Horizonte";"MG";"";"";22;"M";1;1;4;1;0;0;0;0;0;0;0;0;0;"G";"G";"Q";"C";"E";"B";"D"
1;1;1;1;460,7;519,3;496,6;405,8;1;609;3131505;"Ipui<fa>na";"MG";"";"";45;"F";1;1;3;0;0;1;0;0;0;0;0;0;0;"A";"A";"B";"A";"A";"A";"B"
1;1;1;1;648,8;622;577;746,9;1;680;3303906;"Petr<f3>polis";"RJ";"";"";18;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"E";"G";"B";"B";"B";"B";"D"
1;1;1;1;688,4;651;531,8;699;1;880;1503705;"Itupiranga";"PA";"";"";21;"M";1;1;3;0;0;0;0;0;0;0;1;0;0;"D";"G";"H";"A";"B";"A";"A"
1;1;1;1;432,6;596,5;563,2;434,2;1;560;5218805;"Rio Verde";"GO";"";"";28;"M";1;1;3;0;0;0;0;0;0;1;0;0;0;"B";"B";"C";"A";"A";"A";"A"
1;1;1;1;619,4;648,5;576,3;663,1;1;700;3548708;"S<e3>o Bernardo do Campo";"SP";"";"";20;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"H";"H";"B";"A";"B";"B";"A"
1;1;1;1;372,2;561,6;438,1;338,2;1;620;1302603;"Manaus";"AM";"";"";31;"F";4;1;3;0;0;0;0;0;1;0;0;0;0;"B";"H";"E";"A";"A";"B";"A"
1;1;1;1;516,1;568,7;542,9;545,5;1;717;2105302;"Imperatriz";"MA";"";"";25;"F";1;1;3;0;0;0;1;0;0;0;0;0;0;"B";"D";"F";"B";"B";"B";"A"
1;1;1;1;559,6;620,4;551,2;739,3;1;760;2611606;"Recife";"PE";"";"";17;"M";1;1;1;0;0;0;0;0;0;0;1;0;0;"F";"F";"P";"D";"C";"B";"D"
1;1;1;1;459,5;578,9;485,3;432,3;1;634;3168606;"Te<f3>filo Otoni";"MG";"";"";25;"F";1;1;3;0;0;0;1;0;0;0;0;0;0;"E";"E";"C";"A";"A";"A";"A"
1;1;1;1;612,6;614,5;557,4;458,4;1;800;2504009;"Campina Grande";"PB";"";"";33;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"C";"K";"B";"D";"B";"A"
1;1;1;1;480,5;524,9;415,4;545,5;1;360;5001003;"Aparecida do Taboado";"MS";"";"";38;"M";1;1;3;0;0;0;0;0;0;0;1;0;0;"E";"B";"G";"A";"B";"B";"A"
1;1;1;1;467,6;539,9;546,4;514,8;1;520;3302270;"Japeri";"RJ";"";"";23;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"C";"C";"A";"B";"B";"A"
1;1;1;1;523,4;617,6;519,1;499,4;1;420;4117602;"Palmas";"PR";"";"";21;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"C";"E";"C";"A";"A";"A";"A"
1;1;1;1;648,9;658,2;631,6;702,9;1;680;3303906;"Petr<f3>polis";"RJ";"";"";23;"M";1;1;1;0;0;0;0;0;0;0;1;0;0;"G";"F";"P";"C";"B";"B";"D"
1;1;1;1;551,3;574,5;500,1;589,2;1;400;1500800;"Ananindeua";"PA";"";"";26;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"H";"H";"C";"A";"B";"B";"B"
