"TP_PRESENCA_CN";"TP_PRESENCA_CH";"TP_PRESENCA_LC";"TP_PRESENCA_MT";"NU_NOTA_CN";"NU_NOTA_CH";"NU_NOTA_LC";"NU_NOTA_MT";"TP_STATUS_REDACAO";"NU_NOTA_REDACAO";"CO_MUNICIPIO_RESIDENCIA";"NO_MUNICIPIO_RESIDENCIA";"SG_UF_RESIDENCIA";"TP_DEPENDENCIA_ADM_ESC";"TP_LOCALIZACAO_ESC";"NU_IDADE";"TP_SEXO";"TP_ST_CONCLUSAO";"TP_ESCOLA";"TP_COR_RACA";"IN_BAIXA_VISAO";"IN_CEGUEIRA";"IN_SURDEZ";"IN_DEFICIENCIA_AUDITIVA";"IN_SURDO_CEGUEIRA";"IN_DEFICIENCIA_FISICA";"IN_DEFICIENCIA_MENTAL";"IN_DEFICIT_ATENCAO";"IN_DISLEXIA";"IN_AUTISMO";"Q001";"Q002";"Q006";"Q024";"Q010";"Q025";"Q027"
1;1;1;1;595,9;601;489;496,1;1;760;3304557;"Rio de Janeiro";"RJ";"";"";33;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"B";"B";"A";"B";"A";"B";"A"
1;1;1;1;637,3;632;556,6;759,8;1;740;2507507;"Jo<e3>o Pessoa";"PB";"";"";21;"M";1;1;2;0;0;0;0;0;0;0;1;0;0;"F";"G";"Q";"E";"D";"B";"D"
1;1;1;1;500,2;661,5;626,6;669,2;1;860;2611606;"Recife";"PE";"";"";26;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"H";"F";"N";"E";"A";"B";"D"
1;1;1;1;546,6;655,7;528,3;689,9;1;480;3304904;"S<e3>o Gon<e7>alo";"RJ";"";"";20;"M";1;1;1;0;0;0;0;0;0;0;0;0;1;"D";"D";"B";"B";"E";"B";"A"
1;1;1;1;459,9;547,5;395,7;380,6;1;320;3550308;"S<e3>o Paulo";"SP";"";"";42;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"A";"B";"C";"B";"A";"B";"C"
1;1;1;1;493;552;551,7;498,4;1;620;2111300;"S<e3>o Lu<ed>s";"MA";"";"";20;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"A";"D";"B";"A";"A";"A";"A"
1;1;1;1;492,5;464,8;438,2;492;1;480;4302907;"Cacequi";"RS";"";"";19;"F";1;1;2;0;0;0;0;0;0;0;0;1;0;"C";"E";"B";"A";"A";"A";"A"
1;1;1;1;462,8;617,4;561,7;468,2;1;340;2611101;"Petrolina";"PE";"";"";39;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"A";"A";"D";"B";"A";"B";"A"
1;1;1;1;429,2;465,1;455,1;452,7;1;340;3136207;"Jo<e3>o Monlevade";"MG";"";"";20;"F";1;1;3;0;0;0;0;0;0;0;1;0;0;"E";"C";"F";"A";"B";"B";"A"
1;1;1;1;706,4;703,2;639,6;782,5;1;820;3106200;"Belo Horizonte";"MG";"";"";21;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"E";"F";"P";"C";"B";"B";"D"
1;1;1;1;509,8;627,6;511,1;652,2;1;640;2611606;"Recife";"PE";"";"";21;"M";1;1;2;0;0;0;0;0;0;0;1;0;0;"E";"G";"K";"C";"B";"B";"D"
1;1;1;1;421,4;600,4;466,4;501,4;1;500;3519071;"Hortol<e2>ndia";"SP";"";"";21;"F";4;1;1;1;0;0;0;0;0;0;0;0;0;"C";"D";"C";"A";"B";"A";"A"
1;1;1;1;429,7;583,5;506,3;443,6;1;280;4117008;"Nova F<e1>tima";"PR";"";"";50;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"E";"A";"B";"B";"A"
1;1;1;1;410,6;536,7;490,5;454,9;1;180;3304904;"S<e3>o Gon<e7>alo";"RJ";"2";"1";20;"M";2;2;1;0;0;0;0;0;0;0;0;0;1;"D";"D";"B";"B";"E";"B";"A"
1;1;1;1;633,6;684,9;626,6;679;1;720;2211001;"Teresina";"PI";"";"";37;"M";1;1;2;0;0;0;0;0;0;0;1;0;0;"E";"G";"E";"B";"B";"B";"A"
1;1;1;1;468,5;658,3;571;572,8;1;480;3119401;"Coronel Fabriciano";"MG";"4";"1";17;"F";2;4;0;0;0;0;0;0;0;0;1;0;0;"C";"G";"H";"B";"C";"B";"D"
1;1;1;1;437,6;439,5;515,5;380,9;1;300;1302603;"Manaus";"AM";"";"";40;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"B";"A";"A";"B";"A"
1;1;1;1;585,9;635,1;607,9;509,3;1;680;2408508;"Ouro Branco";"RN";"";"";30;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"D";"B";"B";"A";"B";"A"
1;1;1;1;391,3;458,9;524,4;483,3;1;420;4314902;"Porto Alegre";"RS";"";"";19;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"E";"G";"K";"C";"B";"B";"A"
1;1;1;1;382,8;563,7;465,7;423,4;1;280;2307650;"Maracana<fa>";"CE";"";"";18;"M";3;1;3;0;0;0;0;0;0;1;0;0;0;"B";"B";"B";"A";"A";"B";"A"
1;1;1;1;507,3;493,5;550,8;486,9;1;360;1200401;"Rio Branco";"AC";"";"";43;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"G";"B";"B";"B";"A"
1;1;1;1;566,2;687,6;632,3;655,3;1;680;3170206;"Uberl<e2>ndia";"MG";"";"";24;"M";1;1;3;0;0;0;0;0;0;0;0;0;1;"H";"D";"C";"B";"A";"B";"A"
1;1;1;1;555;495,7;384,3;409,4;1;600;5204508;"Caldas Novas";"GO";"4";"1";19;"F";2;4;3;0;0;0;0;0;0;0;1;0;0;"D";"G";"E";"B";"B";"B";"B"
1;1;1;1;570;677,5;593,8;470,7;1;680;3548500;"Santos";"SP";"";"";24;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"E";"E";"C";"B";"A";"B";"A"
1;1;1;1;447,5;573,2;499;580,1;1;320;4205407;"Florian<f3>polis";"SC";"4";"1";17;"M";2;4;1;0;0;0;0;0;0;0;0;0;1;"G";"G";"N";"C";"B";"B";"D"
1;1;1;1;436;539,2;391;506,9;1;180;3504107;"Atibaia";"SP";"";"";52;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"A";"A";"C";"A";"B";"A";"A"
1;1;1;1;501,1;621,1;515,1;500,1;1;520;2930774;"Sobradinho";"BA";"";"";23;"M";1;1;2;0;1;0;0;0;0;0;0;0;0;"B";"E";"C";"A";"A";"B";"A"
1;1;1;1;485,1;573,9;606,2;624,5;1;680;3304524;"Rio das Ostras";"RJ";"3";"1";17;"F";2;3;3;0;0;0;0;0;1;0;0;0;0;"G";"E";"I";"C";"B";"B";"A"
1;1;1;1;566,6;625,6;575;480,2;1;680;3550308;"S<e3>o Paulo";"SP";"";"";21;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"E";"E";"F";"B";"B";"B";"E"
1;1;1;1;575,8;619,1;494;533,1;1;360;2103000;"Caxias";"MA";"";"";21;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"E";"G";"G";"B";"A";"B";"B"
1;1;1;1;482,4;629,2;610,9;538,8;1;460;4303509;"Camaqu<e3>";"RS";"";"";19;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"E";"G";"J";"B";"B";"B";"A"
1;1;1;1;610,7;667,6;572,6;545,9;1;840;4314902;"Porto Alegre";"RS";"";"";18;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"H";"G";"L";"D";"B";"B";"D"
1;1;1;1;587,9;637,7;583,8;680;1;880;3538709;"Piracicaba";"SP";"";"";21;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"E";"E";"G";"B";"B";"B";"A"
1;1;1;1;533,6;650,6;582;617,5;1;780;3170057;"Ubaporanga";"MG";"";"";20;"F";1;1;1;1;0;0;0;0;0;0;1;0;0;"B";"E";"B";"A";"A";"A";"A"
1;1;1;1;499,4;492,7;486;405,7;1;520;2513406;"Santa Luzia";"PB";"";"";22;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"C";"C";"C";"B";"A";"B";"A"
1;1;1;1;378,5;611,5;481,2;523,1;1;520;1501402;"Bel<e9>m";"PA";"";"";43;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"B";"A";"B";"B";"A";"B";"A"
1;1;1;1;635,7;697;649;722,2;1;740;5300108;"Bras<ed>lia";"DF";"";"";35;"F";1;1;2;1;0;0;0;0;0;0;0;0;0;"E";"E";"P";"C";"B";"B";"D"
1;1;1;1;426,5;593,4;582,5;502,1;1;340;3123908;"Entre Rios de Minas";"MG";"";"";17;"F";2;1;1;1;0;0;0;0;0;0;0;0;0;"B";"B";"C";"A";"B";"A";"A"
1;1;1;1;584;653,9;578,7;509,4;1;540;3106200;"Belo Horizonte";"MG";"";"";41;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"C";"G";"J";"B";"B";"B";"A"
1;1;1;1;519,5;637,4;594,8;465,4;1;600;4307708;"Esteio";"RS";"";"";23;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"E";"E";"G";"C";"B";"B";"A"
1;1;1;1;465,4;493,9;507,1;455,8;1;260;2412005;"S<e3>o Gon<e7>alo do Amarante";"RN";"";"";26;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"D";"B";"C";"A";"A";"B";"A"
1;1;1;1;456,7;555,3;440,2;553,2;1;340;2111300;"S<e3>o Lu<ed>s";"MA";"";"";33;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"E";"B";"A";"A";"A";"A"
1;1;1;1;464,1;510,8;479,3;473,3;1;360;2905206;"Caetit<e9>";"BA";"";"";30;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"E";"B";"A";"A";"A";"A"
1;1;1;1;545;616,1;532,4;712,9;1;760;5300108;"Bras<ed>lia";"DF";"4";"1";16;"F";2;4;3;0;0;0;0;0;1;0;0;0;0;"H";"G";"B";"A";"B";"A";"E"
1;1;1;1;433,1;528,5;521,4;423,4;1;640;5002704;"Campo Grande";"MS";"";"";28;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"C";"B";"A";"B";"B";"A"
1;1;1;1;484,1;616,5;612,6;548,1;1;640;3523107;"Itaquaquecetuba";"SP";"2";"1";17;"F";2;2;4;0;0;0;0;0;1;0;0;0;0;"E";"E";"E";"B";"B";"B";"A"
