"TP_PRESENCA_CN";"TP_PRESENCA_CH";"TP_PRESENCA_LC";"TP_PRESENCA_MT";"NU_NOTA_CN";"NU_NOTA_CH";"NU_NOTA_LC";"NU_NOTA_MT";"TP_STATUS_REDACAO";"NU_NOTA_REDACAO";"CO_MUNICIPIO_RESIDENCIA";"NO_MUNICIPIO_RESIDENCIA";"SG_UF_RESIDENCIA";"TP_DEPENDENCIA_ADM_ESC";"TP_LOCALIZACAO_ESC";"NU_IDADE";"TP_SEXO";"TP_ST_CONCLUSAO";"TP_ESCOLA";"TP_COR_RACA";"IN_BAIXA_VISAO";"IN_CEGUEIRA";"IN_SURDEZ";"IN_DEFICIENCIA_AUDITIVA";"IN_SURDO_CEGUEIRA";"IN_DEFICIENCIA_FISICA";"IN_DEFICIENCIA_MENTAL";"IN_DEFICIT_ATENCAO";"IN_DISLEXIA";"IN_AUTISMO";"Q001";"Q002";"Q006";"Q024";"Q010";"Q025";"Q027"
1;1;1;1;518,8;529;490,8;515,6;1;520;3550308;"S<e3>o Paulo";"SP";"";"";39;"F";4;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"C";"A";"A";"A";"A"
1;1;1;1;425,7;412,2;469;380,3;1;580;2927408;"Salvador";"BA";"";"";21;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"G";"H";"F";"B";"B";"B";"D"
1;1;1;1;491,8;397,9;436,8;366,1;1;520;3510609;"Carapicu<ed>ba";"SP";"2";"1";17;"M";2;2;3;0;0;0;0;0;1;0;0;0;0;"C";"B";"B";"B";"A";"B";"A"
1;1;1;1;602,6;601;517,4;520,8;1;640;3522208;"Itapecerica da Serra";"SP";"";"";19;"F";1;1;3;0;0;1;0;0;0;0;0;0;0;"D";"E";"H";"B";"A";"B";"A"
1;1;1;1;730,8;753,5;664,2;830,6;1;760;5208707;"Goi<e2>nia";"GO";"";"";20;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"F";"E";"F";"C";"A";"B";"D"
1;1;1;1;517,4;587;567;498,4;1;460;3301702;"Duque de Caxias";"RJ";"";"";29;"F";1;1;3;0;0;0;1;0;0;0;0;0;0;"C";"D";"D";"A";"A";"B";"A"
1;1;1;1;396,2;453,9;508;474,8;1;580;3106200;"Belo Horizonte";"MG";"";"";36;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"D";"B";"A";"B";"A"
1;1;1;1;548;571,5;522,6;371,2;1;600;1302603;"Manaus";"AM";"";"";35;"F";1;1;3;0;0;0;1;0;0;0;0;0;0;"D";"E";"B";"A";"A";"A";"A"
1;1;1;1;586,8;625,4;532,1;474,3;1;580;2504009;"Campina Grande";"PB";"";"";29;"M";1;1;2;0;0;0;0;0;0;0;0;1;0;"F";"F";"F";"A";"A";"B";"B"
1;1;1;1;457,8;441,8;349,1;406,6;1;480;2929503;"S<e3>o Sebasti<e3>o do Pass<e9>";"BA";"";"";21;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"H";"H";"B";"A";"A";"A";"A"
1;1;1;1;572,5;623,3;532,5;541,9;1;520;1302603;"Manaus";"AM";"";"";47;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"B";"C";"B";"B";"B";"A"
1;1;1;1;593,9;687;628,2;757,3;1;580;3205002;"Serra";"ES";"";"";22;"F";1;1;3;0;0;0;0;0;0;0;1;0;1;"E";"F";"I";"E";"C";"B";"D"
1;1;1;1;483,3;619,2;570,3;553,4;1;360;5103403;"Cuiab<e1>";"MT";"";"";54;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"B";"A";"D";"B";"B";"B";"A"
1;1;1;1;397,3;435,3;411,8;339,8;1;320;5103403;"Cuiab<e1>";"MT";"";"";31;"F";1;1;1;0;0;0;1;0;0;0;0;0;0;"E";"E";"B";"B";"A";"B";"A"
1;1;1;1;490,2;514;531,1;459,7;1;560;2920205;"Malhada";"BA";"";"";16;"F";3;1;3;1;0;0;0;0;0;0;0;0;0;"E";"E";"B";"B";"A";"B";"A"
1;1;1;1;540,8;602,1;481,7;510,9;1;560;3548906;"S<e3>o Carlos";"SP";"";"";18;"M";1;1;1;0;0;0;0;0;0;0;1;0;0;"F";"E";"D";"B";"C";"B";"D"
1;1;1;1;452,5;524,1;542,1;423,4;1;460;2111300;"S<e3>o Lu<ed>s";"MA";"";"";20;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"E";"D";"B";"A";"A";"B";"A"
1;1;1;1;521,4;613,8;567,7;560,2;1;560;3136702;"Juiz de Fora";"MG";"";"";33;"M";1;1;0;0;0;0;0;0;1;0;0;0;0;"B";"D";"G";"B";"B";"A";"A"
1;1;1;1;421;439,1;384,1;493,3;1;620;3303203;"Nil<f3>polis";"RJ";"";"";21;"M";1;1;1;0;0;1;0;0;0;0;0;0;0;"E";"B";"F";"B";"A";"B";"A"
1;1;1;1;517,3;529,3;509,3;529,5;1;480;2302107;"Baturit<e9>";"CE";"";"";23;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"F";"G";"I";"B";"A";"B";"C"
1;1;1;1;691,4;701,1;653,1;749,5;1;920;3136702;"Juiz de Fora";"MG";"";"";23;"M";1;1;1;0;0;0;0;0;0;0;1;0;0;"F";"E";"H";"D";"B";"B";"D"
1;1;1;1;450,5;421,5;434,6;461,6;1;480;1100205;"Porto Velho";"RO";"";"";23;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"E";"C";"B";"B";"B";"A"
1;1;1;1;492,4;497;475,8;405,8;1;400;2609907;"Ouricuri";"PE";"2";"1";19;"F";2;2;0;0;0;0;0;0;1;0;0;0;0;"D";"E";"B";"A";"A";"A";"A"
1;1;1;1;708,5;681,8;672;785,3;1;960;2304400;"Fortaleza";"CE";"";"";23;"M";1;1;4;0;0;0;0;0;0;0;1;0;0;"G";"F";"K";"C";"B";"B";"D"
1;1;1;1;476,4;381,2;528;553,9;1;680;2805604;"Porto da Folha";"SE";"";"";18;"F";1;1;1;1;0;0;0;0;0;0;0;0;0;"E";"B";"B";"A";"A";"A";"A"
1;1;1;1;381,8;480,6;399,6;405,7;1;520;1501402;"Bel<e9>m";"PA";"4";"1";18;"F";2;3;3;0;0;0;0;0;0;0;0;1;0;"D";"E";"C";"B";"A";"B";"D"
1;1;1;1;481,6;464,6;517,1;557,5;1;560;3551009;"S<e3>o Vicente";"SP";"";"";24;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"H";"A";"B";"B";"A"
1;1;1;1;554,1;523,1;532,6;611,8;1;720;3205002;"Serra";"ES";"";"";25;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"C";"B";"B";"B";"A"
1;1;1;1;544,4;625,8;569,6;649,9;1;920;2603454;"Camaragibe";"PE";"";"";46;"F";1;1;4;1;0;0;0;0;0;0;0;0;0;"F";"E";"G";"B";"B";"B";"D"
1;1;1;1;479,6;536,2;534,9;545,3;1;400;2611606;"Recife";"PE";"4";"1";18;"M";2;4;1;0;0;0;0;0;0;0;1;0;0;"G";"F";"Q";"B";"C";"B";"D"
1;1;1;1;707,9;677,3;656,1;784,1;1;960;3106200;"Belo Horizonte";"MG";"";"";26;"F";1;1;0;0;0;0;0;0;0;0;1;0;0;"F";"G";"E";"C";"B";"B";"D"
1;1;1;1;494,2;450,3;455,6;497;1;620;2610707;"Paulista";"PE";"";"";20;"M";1;1;3;0;0;0;0;0;0;0;1;0;0;"E";"B";"F";"C";"A";"B";"D"
1;1;1;1;551,3;553,4;539;503,1;1;480;2610707;"Paulista";"PE";"";"";44;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"F";"G";"C";"B";"B";"A"
1;1;1;1;657,2;714,5;639,3;812,9;1;920;2408102;"Natal";"RN";"";"";21;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"F";"F";"J";"B";"C";"B";"D"
1;1;1;1;591,5;606;585,8;663,3;1;840;2105302;"Imperatriz";"MA";"";"";18;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"E";"E";"E";"B";"B";"B";"A"
1;1;1;1;538,3;614,9;534,9;395,6;1;620;3147907;"Passos";"MG";"";"";19;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"E";"B";"C";"B";"A";"B";"A"
1;1;1;1;621,3;627,9;633,6;744,4;1;840;2507507;"Jo<e3>o Pessoa";"PB";"";"";27;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"C";"I";"B";"A";"B";"A"
1;1;1;1;406,8;522,9;515,9;497,9;1;360;3548708;"S<e3>o Bernardo do Campo";"SP";"";"";32;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"A";"A";"B";"B";"A";"B";"A"
