"TP_PRESENCA_CN";"TP_PRESENCA_CH";"TP_PRESENCA_LC";"TP_PRESENCA_MT";"NU_NOTA_CN";"NU_NOTA_CH";"NU_NOTA_LC";"NU_NOTA_MT";"TP_STATUS_REDACAO";"NU_NOTA_REDACAO";"CO_MUNICIPIO_RESIDENCIA";"NO_MUNICIPIO_RESIDENCIA";"SG_UF_RESIDENCIA";"TP_DEPENDENCIA_ADM_ESC";"TP_LOCALIZACAO_ESC";"NU_IDADE";"TP_SEXO";"TP_ST_CONCLUSAO";"TP_ESCOLA";"TP_COR_RACA";"IN_BAIXA_VISAO";"IN_CEGUEIRA";"IN_SURDEZ";"IN_DEFICIENCIA_AUDITIVA";"IN_SURDO_CEGUEIRA";"IN_DEFICIENCIA_FISICA";"IN_DEFICIENCIA_MENTAL";"IN_DEFICIT_ATENCAO";"IN_DISLEXIA";"IN_AUTISMO";"Q001";"Q002";"Q006";"Q024";"Q010";"Q025";"Q047"
1;1;1;1;439,9;597;555,1;711,4;1;660;1504208;"Marab<e1>";"PA";"";"";45;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"D";"C";"G";"B";"B";"B";"A"
1;1;1;1;489,6;661,2;577,5;490,7;1;800;2307304;"Juazeiro do Norte";"CE";"";"";18;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"D";"C";"B";"B";"A";"A";"A"
1;1;1;1;514,6;560,5;601,5;459,5;1;640;3550308;"S<e3>o Paulo";"SP";"";"";21;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"H";"E";"B";"B";"A";"B";"A"
1;1;1;1;439,2;413,1;523,6;562,1;1;480;3518800;"Guarulhos";"SP";"";"";19;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"D";"D";"B";"A";"B";"A"
1;1;1;1;711,1;722,4;631,4;788,8;1;900;2611606;"Recife";"PE";"";"";18;"F";1;1;3;0;0;0;0;0;0;0;1;0;0;"B";"F";"F";"B";"B";"B";"D"
1;1;1;1;506,9;584,5;619;553,9;1;520;4313409;"Novo Hamburgo";"RS";"";"";24;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"D";"E";"C";"B";"B";"A"
1;1;1;1;461,6;589,6;506,6;606;1;640;3151206;"Pirapora";"MG";"";"";19;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"E";"B";"B";"B";"D"
1;1;1;1;670,3;611,3;603,9;646,8;1;960;3304557;"Rio de Janeiro";"RJ";"";"";31;"F";1;1;3;0;0;0;0;0;0;0;1;0;0;"E";"E";"B";"A";"A";"A";"A"
1;1;1;1;474,3;547,8;528,5;535,5;1;500;2604106;"Caruaru";"PE";"";"";33;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"C";"A";"B";"B";"A";"B";"A"
1;1;1;1;664,8;582,7;563,1;790,5;1;720;3546009;"Santa Branca";"SP";"";"";20;"F";1;1;1;0;0;0;0;0;0;0;1;0;0;"D";"G";"H";"B";"B";"B";"D"
1;1;1;1;491,5;523,9;546,1;422,6;1;575;2209104;"Santa Cruz do Piau<ed>";"PI";"";"";34;"M";1;1;3;1;0;0;0;0;1;1;1;1;0;"B";"G";"C";"B";"A";"B";"A"
1;1;1;1;493,6;605,8;572,6;463,3;1;620;1100023;"Ariquemes";"RO";"";"";17;"F";3;1;3;0;1;0;0;0;0;0;0;0;0;"B";"E";"B";"B";"A";"B";"A"
1;1;1;1;525,8;573,8;611;405,3;1;680;2910800;"Feira de Santana";"BA";"";"";25;"F";1;1;1;0;0;0;0;0;1;0;0;0;0;"B";"D";"C";"B";"A";"B";"A"
1;1;1;1;380,7;484,8;574,9;418,4;1;640;4108304;"Foz do Igua<e7>u";"PR";"";"";31;"F";1;1;1;0;0;0;1;0;0;0;0;0;0;"B";"E";"E";"B";"B";"B";"A"
1;1;1;1;604,8;612,1;544,7;468,8;1;680;2304400;"Fortaleza";"CE";"4";"1";19;"M";2;3;1;0;0;0;0;0;1;0;0;0;0;"B";"E";"C";"B";"B";"B";"D"
1;1;1;1;501,7;619,2;578,9;419,4;1;583;3106200;"Belo Horizonte";"MG";"";"";56;"M";1;1;3;0;0;0;1;0;0;0;0;0;0;"E";"E";"F";"B";"B";"B";"A"
1;1;1;1;501,8;588,4;526,8;368,5;1;720;2307650;"Maracana<fa>";"CE";"";"";19;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"F";"E";"B";"A";"B";"D"
1;1;1;1;463,2;539,5;532,9;546,4;1;520;3157807;"Santa Luzia";"MG";"";"";19;"F";4;1;1;0;0;0;0;0;1;0;0;0;0;"H";"H";"C";"D";"B";"B";"A"
1;1;1;1;446,6;517,2;500,5;529;1;660;2304400;"Fortaleza";"CE";"";"";40;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"F";"B";"B";"B";"A";"B";"A"
